date,open,high,low,close,volume,oi,instrument_token
2023-12-04 00:00:00+05:30,1.0,1.4,0.2,0.65,2476040,591880,13239298
2023-12-04 00:00:00+05:30,0.5,5.9,0.2,0.75,2048760,433120,13238786
2023-12-04 00:00:00+05:30,0.5,1.1,0.25,0.9,4837200,1053440,13238274
2023-12-04 00:00:00+05:30,0.35,1.1,0.25,0.75,1882160,350720,13237762
2023-12-04 00:00:00+05:30,0.45,1.15,0.3,0.9,2821360,388000,13237250
2023-12-04 00:00:00+05:30,0.55,10.5,0.3,1.05,3768640,612240,13236738
2023-12-04 00:00:00+05:30,0.5,2.0,0.3,1.3,6356200,910400,13236226
2023-12-04 00:00:00+05:30,0.6,2.2,0.3,1.5,33721560,4261200,13235714
2023-12-04 00:00:00+05:30,1.0,2.95,0.4,2.35,26165320,2085200,13235202
2023-12-04 00:00:00+05:30,0.5,6.1,0.5,4.35,38627360,2814000,13234178
2023-12-04 00:00:00+05:30,2.75,13.7,0.6,9.0,49226400,2426320,13232386
2023-12-04 00:00:00+05:30,0.2,22.05,0.2,12.85,26618720,930640,13231618
2023-12-04 00:00:00+05:30,1.05,28.5,1.05,18.55,70164360,2467640,13231106
2023-12-04 00:00:00+05:30,4.1,39.5,1.2,25.7,47188360,1706080,13230594
2023-12-04 00:00:00+05:30,2.05,53.7,1.65,36.5,118069800,5971720,13230082
2023-12-04 00:00:00+05:30,2.25,71.8,2.05,50.1,69563680,1843440,13229570
2023-12-04 00:00:00+05:30,5.0,93.8,2.0,69.75,106849880,2482960,13229058
2023-12-04 00:00:00+05:30,14.95,124.55,3.5,93.8,85711320,1139760,13227010
2023-12-04 00:00:00+05:30,21.15,161.5,5.0,124.55,125287320,1222160,13224450
2023-12-04 00:00:00+05:30,16.6,202.85,11.15,159.75,85831520,656760,13223938
2023-12-04 00:00:00+05:30,20.0,247.4,20.0,201.9,110656360,639560,13223426
2023-12-04 00:00:00+05:30,43.9,292.85,26.3,243.0,66328360,475000,13222914
2023-12-04 00:00:00+05:30,70.65,342.0,38.0,294.0,78203000,296360,13222146
2023-12-04 00:00:00+05:30,81.6,388.7,55.2,338.35,25784480,284560,13221634
2023-12-04 00:00:00+05:30,100.05,440.25,72.75,386.7,18705920,260920,13221122
2023-12-04 00:00:00+05:30,119.95,485.25,99.75,436.05,4229520,140600,13220610
2023-12-04 00:00:00+05:30,182.0,537.4,125.55,486.5,5009400,211760,13220098
2023-12-04 00:00:00+05:30,200.0,587.3,166.65,533.55,1536960,87680,13219586
2023-12-04 00:00:00+05:30,199.0,635.2,199.0,587.35,2125040,184760,13218306
2023-12-04 00:00:00+05:30,249.95,687.35,249.95,627.65,1218160,389440,13217794
2023-12-04 00:00:00+05:30,260.0,734.0,260.0,688.45,1407960,435600,13217282
2023-12-04 00:00:00+05:30,360.45,775.9,330.3,739.6,311080,280280,13216002
2023-12-04 00:00:00+05:30,350.0,832.55,350.0,794.4,450400,208880,13214978
2023-12-04 00:00:00+05:30,459.6,876.4,438.25,831.7,140760,141800,13214466
2023-12-04 00:00:00+05:30,526.9,929.85,491.7,878.65,282320,317480,13213954
2023-12-04 00:00:00+05:30,574.95,977.45,574.95,953.85,51160,172160,13213442
2023-12-04 00:00:00+05:30,619.95,1030.15,619.95,972.15,53520,142200,13212930
2023-12-04 00:00:00+05:30,709.85,1045.55,687.0,1029.6,27400,57760,13212418
2023-12-04 00:00:00+05:30,751.25,1127.1,739.5,1077.7,24520,82680,13211394
2023-12-04 00:00:00+05:30,799.5,1156.0,789.3,1141.45,16920,33040,13210882
2023-12-04 00:00:00+05:30,800.0,1220.1,800.0,1170.45,86040,131520,13210370
2023-12-04 00:00:00+05:30,850.55,1227.7,850.55,1219.85,25640,24640,13209602
2023-12-04 00:00:00+05:30,934.9,1296.1,934.9,1296.1,16160,30520,13208834
2023-12-04 00:00:00+05:30,1077.5,1077.5,1025.0,1050.0,200,14560,13208322
2023-12-04 00:00:00+05:30,1073.25,1430.15,1073.25,1374.0,17000,14760,13207298
2023-12-04 00:00:00+05:30,1112.15,1430.8,1112.15,1430.55,240,6800,13206530
2023-12-04 00:00:00+05:30,1300.0,1530.25,1299.35,1512.05,480,11720,13205762
2023-12-04 00:00:00+05:30,597.2,597.2,597.2,597.2,0,200,13205250
2023-12-04 00:00:00+05:30,1466.8,1466.8,1300.0,1300.0,840,3800,13204738
2023-12-04 00:00:00+05:30,964.3,964.3,964.3,964.3,0,280,13204226
2023-12-04 00:00:00+05:30,983.6,983.6,983.6,983.6,0,240,13203714
2023-12-04 00:00:00+05:30,700.0,700.0,700.0,700.0,0,80,13203202
2023-12-04 00:00:00+05:30,660.0,660.0,660.0,660.0,0,2880,13202690
2023-12-04 00:00:00+05:30,1535.0,1535.0,1535.0,1535.0,40,280,13202178
2023-12-04 00:00:00+05:30,913.15,913.15,913.15,913.15,0,8600,13201154
2023-12-04 00:00:00+05:30,1133.35,1133.35,1133.35,1133.35,0,480,13199618
2023-12-04 00:00:00+05:30,1261.9,1261.9,1261.9,1261.9,0,40,13198594
2023-12-04 00:00:00+05:30,1895.5,1895.5,1895.5,1895.5,0,40,13177346
